52.04	14.88	7.17	63.03	69.23	219.48	18.28	-13.42	57.98	-127.28	59.12	11.03	68.57	0.17	61.89	0	40.89	81.71	24.9	-10.95	-45.07	-22.67	31.25	219.48	-38.54	192.39	0	0	555	2891	0	52.04	17.09	555	2891	0.03	21.32	0.27	1.01	0.04	21.7	0.14	-2.45	0.01	21.23	0.03	1.07	0.07	21.85	0.14	0.06																																																			
53.04	17.18	5.92	62.96	69.42	219.87	17.89	-13.42	57.86	-127.28	46.63	12.28	70.06	0.17	62.38	0	40.89	82.1	24.85	-10.94	-45.07	-22.67	30.25	219.87	-38.53	193.89	0	0	668	3453	0	53.04	18.49	668	3453	0.03	21.38	0.24	1.02	0.04	21.7	0.17	-2.46	0.01	21.23	0	1.08	0.07	21.86	0.14	0.06																																																			
54.06	13.15	6.02	62.96	69.3	220.47	18.28	-13.43	57.82	-127.28	47.59	12.18	69.46	0.17	62.34	0	40.89	82.69	24.85	-10.95	-45.07	-22.67	29.23	220.47	-38.54	193.77	0	0	727	3745	0	54.06	23.6	727	3745	0.03	21.41	0.24	1.01	0.04	21.7	0.17	-2.46	0	21.23	0.06	1.07	0.07	21.86	0.11	0.05																																																			
55.08	26.43	6.98	62.96	69.15	219.89	18.28	-13.43	57.75	-127.28	44.79	11.22	63.88	0.17	62.34	0	40.88	82.13	24.9	-10.95	-45.07	-22.67	28.21	219.89	-38.54	193.77	0	0	804	4143	0	55.08	12.28	804	4143	0.04	21.4	0.24	0.99	0.04	21.7	0.14	-2.46	0.01	21.23	0.03	1.08	0.06	21.86	0.14	0.04																																																			
56.1	17.39	7.17	62.9	68.81	218.07	17.89	-13.43	57.71	-127.24	43.91	11.03	63.4	0.17	62.38	0	40.88	80.31	24.9	-10.95	-45.05	-22.67	27.19	218.07	-38.53	193.89	0	0	895	4713	0	56.1	11.34	895	4713	0.03	21.39	0.21	1.01	0.04	21.7	0.17	-2.46	0.01	21.23	0.03	1.07	0.06	21.85	0.14	0.06																																																			
57.12	13.53	6.55	62.9	69.15	219.38	18.66	-13.43	57.63	-127.28	47.35	11.65	62.91	0.17	62.34	0	40.88	81.62	24.9	-10.94	-45.05	-22.67	26.17	219.38	-38.54	193.77	0	0	949	5016	0	57.12	25.05	949	5016	0.03	21.42	0.21	1.01	0.05	21.73	0.11	-2.47	0.01	21.24	0.03	1.07	0.07	21.86	0.11	0.07																																																			
58.2	23.17	7.17	62.9	69.26	219.03	18.28	-13.43	57.59	-127.28	56.48	11.03	61.8	0.17	62.15	0	40.89	81.26	24.9	-10.95	-45.08	-22.67	25.09	219.03	-38.54	193.19	0	0	1012	5339	0	58.2	27.2	1012	5339	0.03	21.37	0.24	0.99	0.04	21.83	0.17	-2.46	0.01	21.23	0.06	1.07	0.07	21.86	0.14	0.06																																																			
59.24	28.09	7.79	62.9	69.11	219.49	20.18	-13.43	57.52	-127.28	73.54	10.41	60.46	0.17	62.34	0	40.89	81.72	24.71	-10.95	-45.07	-22.67	24.05	219.49	-38.54	193.77	0	0	1061	5611	0	59.24	28.7	1061	5611	0.03	21.37	0.21	1.01	0.04	21.84	0.14	-2.47	0.01	21.23	0.03	1.08	0.07	21.85	0.14	0.07																																																			
60.27	30.09	7.51	62.87	69.11	219.78	20.18	-13.43	57.52	-127.28	60.64	10.69	61.05	0.17	62.34	0	40.89	82	24.89	-10.95	-45.07	-22.67	23.02	219.78	-38.53	193.77	0	0	1117	5874	0	60.27	27.82	1117	5874	0.03	21.39	0.24	0.99	0.04	22.02	0.17	-2.47	0.01	21.23	0.03	1.08	0.06	21.86	0.17	0.04																																																			
61.33	29.53	9.86	62.87	69.15	219.17	19.42	-13.43	57.44	-127.28	65.93	8.34	60.72	0.2	62.34	0	40.88	81.41	24.73	-10.94	-45.08	-22.67	21.96	219.17	-38.54	193.89	0	0	1162	6115	0	61.33	30.71	1162	6115	0.03	21.41	0.21	0.99	0.03	21.72	0.11	-2.48	0.01	21.23	0.03	1.08	0.06	21.85	0.17	0.06																																																			
62.41	30.67	8.95	62.84	69.34	220.41	19.8	-13.43	57.44	-127.24	63.21	9.25	60.83	0.17	62.38	0	40.89	82.64	24.9	-10.95	-45.05	-22.67	20.88	220.41	-38.53	193.89	0	0	1217	6415	0	62.41	28.49	1217	6415	0.03	21.4	0.24	1.01	0.03	21.7	0.17	-2.48	0.01	21.23	0.06	1.08	0.07	21.86	0.14	0.07																																																			
